Date,Close
6/3/2019 16:00:00,9.91
6/4/2019 16:00:00,10.21
6/5/2019 16:00:00,9.77
6/6/2019 16:00:00,9.4
6/7/2019 16:00:00,9.49
6/10/2019 16:00:00,9.58
6/11/2019 16:00:00,10.08
6/12/2019 16:00:00,10.06
6/13/2019 16:00:00,9.86
6/14/2019 16:00:00,9.48
6/17/2019 16:00:00,9.75
6/18/2019 16:00:00,9.91
6/19/2019 16:00:00,10.33
6/20/2019 16:00:00,10.02
6/21/2019 16:00:00,11.57
6/24/2019 16:00:00,11.05
6/25/2019 16:00:00,10.76
6/26/2019 16:00:00,13.5
6/27/2019 16:00:00,13.02
6/28/2019 16:00:00,13.6
7/1/2019 16:00:00,12.7
7/2/2019 16:00:00,14.32
7/3/2019 13:00:00,14.78
7/5/2019 16:00:00,14.72
7/8/2019 16:00:00,16.64
7/9/2019 16:00:00,17.15
7/10/2019 16:00:00,18.39
7/11/2019 16:00:00,17.82
7/12/2019 16:00:00,19.01
7/15/2019 16:00:00,17.22
7/16/2019 16:00:00,17.76
7/17/2019 16:00:00,18.94
7/18/2019 16:00:00,18.69
7/19/2019 16:00:00,17.54
7/22/2019 16:00:00,17.75
7/23/2019 16:00:00,18.39
7/24/2019 16:00:00,19.11
7/25/2019 16:00:00,19.21
7/26/2019 16:00:00,20.05
7/29/2019 16:00:00,22.08
7/30/2019 16:00:00,22.88
7/31/2019 16:00:00,22.52
8/1/2019 16:00:00,21.27
8/2/2019 16:00:00,21.13
8/5/2019 16:00:00,21.6
8/6/2019 16:00:00,22.04
8/7/2019 16:00:00,22.09
8/8/2019 16:00:00,21.29
8/9/2019 16:00:00,25.19
8/12/2019 16:00:00,24.97
8/13/2019 16:00:00,20.58
8/14/2019 16:00:00,15.97
8/15/2019 16:00:00,18.46
8/16/2019 16:00:00,18.11
8/19/2019 16:00:00,18.9
8/20/2019 16:00:00,19.08
8/21/2019 16:00:00,19.5
8/22/2019 16:00:00,21.12
8/23/2019 16:00:00,19.89
8/26/2019 16:00:00,16.75
8/27/2019 16:00:00,17.12
