Date,Symbol,Close
42887.66667,ETSY,13.55
42888.66667,ETSY,13.47
42891.66667,ETSY,13.54
42892.66667,ETSY,13.49
42893.66667,ETSY,13.43
42894.66667,ETSY,13.92
42895.66667,ETSY,13.45
42898.66667,ETSY,13.26
42899.66667,ETSY,13.64
42900.66667,ETSY,13.57
42901.66667,ETSY,13.85
42902.66667,ETSY,13.67
42905.66667,ETSY,14.2
42906.66667,ETSY,13.98
42907.66667,ETSY,14.2
42908.66667,ETSY,14.68
42909.66667,ETSY,15.24
42912.66667,ETSY,15.27
42913.66667,ETSY,14.8
42914.66667,ETSY,15.19
42915.66667,ETSY,14.97
42916.66667,ETSY,15
42919.66667,ETSY,14.72
42921.66667,ETSY,14.89
42922.66667,ETSY,14.63
42923.66667,ETSY,15.02
42926.66667,ETSY,15.01
42927.66667,ETSY,14.82
42928.66667,ETSY,14.93
42929.66667,ETSY,15.18
42930.66667,ETSY,15.06
42933.66667,ETSY,14.77
42934.66667,ETSY,14.91
42935.66667,ETSY,14.6
42936.66667,ETSY,14.5
42937.66667,ETSY,14.62
42940.66667,ETSY,14.49
42941.66667,ETSY,14.65
42942.66667,ETSY,14.92
42943.66667,ETSY,14.84
42944.66667,ETSY,14.64
42947.66667,ETSY,14.37
42948.66667,ETSY,14.31
42949.66667,ETSY,14.02
42950.66667,ETSY,13.59
42951.66667,ETSY,15.15
42954.66667,ETSY,15.46
42955.66667,ETSY,15.62
42956.66667,ETSY,15.85
42957.66667,ETSY,15.9
42958.66667,ETSY,16.22
42961.66667,ETSY,16.19
42962.66667,ETSY,15.64
42963.66667,ETSY,15.6
42964.66667,ETSY,15.58
42965.66667,ETSY,15.59
42968.66667,ETSY,15.43
42969.66667,ETSY,15.63
42970.66667,ETSY,15.61
42971.66667,ETSY,15.84
42972.66667,ETSY,15.64
42975.66667,ETSY,15.83
42976.66667,ETSY,16.03
42977.66667,ETSY,16.17
42978.66667,ETSY,16.37
42979.66667,ETSY,16.31
42983.66667,ETSY,16.32
42984.66667,ETSY,16.62
42985.66667,ETSY,17
42986.66667,ETSY,16.88
42989.66667,ETSY,17.34
42990.66667,ETSY,17.62
42991.66667,ETSY,17.79
42992.66667,ETSY,17.76
42993.66667,ETSY,17.17
42996.66667,ETSY,17.13
42997.66667,ETSY,17.17
42998.66667,ETSY,17.18
42999.66667,ETSY,17.11
43000.66667,ETSY,17.11
43003.66667,ETSY,16.9
43004.66667,ETSY,17.04
43005.66667,ETSY,16.96
43006.66667,ETSY,16.82
43007.66667,ETSY,16.88
43010.66667,ETSY,17.2
43011.66667,ETSY,17.03
43012.66667,ETSY,16.55
43013.66667,ETSY,16.5
43014.66667,ETSY,16.72
43017.66667,ETSY,16.47
43018.66667,ETSY,16.4
43019.66667,ETSY,16.34
43020.66667,ETSY,16.2
43021.66667,ETSY,16.51
43024.66667,ETSY,16.36
43025.66667,ETSY,16.2
43026.66667,ETSY,16.36
43027.66667,ETSY,16.19
43028.66667,ETSY,16.38
43031.66667,ETSY,15.76
43032.66667,ETSY,15.74
43033.66667,ETSY,15.81
43034.66667,ETSY,16.27
43035.66667,ETSY,16.75
43038.66667,ETSY,16.71
43039.66667,ETSY,16.7
43040.66667,ETSY,16.73
43041.66667,ETSY,16.5
43042.66667,ETSY,16.59
43045.66667,ETSY,17.15
43046.66667,ETSY,16.86
43047.66667,ETSY,16.51
43048.66667,ETSY,16.51
43049.66667,ETSY,16.72
43052.66667,ETSY,16.65
43053.66667,ETSY,16.59
43054.66667,ETSY,16.47
43055.66667,ETSY,16.42
43056.66667,ETSY,16.47
43059.66667,ETSY,16.65
43060.66667,ETSY,16.93
43061.66667,ETSY,16.87
43063.54167,ETSY,17.12
43066.66667,ETSY,16.98
43067.66667,ETSY,16.98
43068.66667,ETSY,16.32
43069.66667,ETSY,16.46
43070.66667,ETSY,16.83
43073.66667,ETSY,17.91
43074.66667,ETSY,18.19
43075.66667,ETSY,18.74
43076.66667,ETSY,18.96
43077.66667,ETSY,19.32
43080.66667,ETSY,19.93
43081.66667,ETSY,20.21
43082.66667,ETSY,20.16
43083.66667,ETSY,20.14
43084.66667,ETSY,20.5
43087.66667,ETSY,20.77
43088.66667,ETSY,20.31
43089.66667,ETSY,20.72
43090.66667,ETSY,21.76
43091.66667,ETSY,21.69
43095.66667,ETSY,21.75
43096.66667,ETSY,20.82
43097.66667,ETSY,20.65
43098.66667,ETSY,20.45
43102.66667,ETSY,20.83
43103.66667,ETSY,20.41
43104.66667,ETSY,20.23
43105.66667,ETSY,20.25
43108.66667,ETSY,20.32
43109.66667,ETSY,20.9
43110.66667,ETSY,20.26
43111.66667,ETSY,20.56
43112.66667,ETSY,19.54
43116.66667,ETSY,19.35
43117.66667,ETSY,19.74
43118.66667,ETSY,19.6
43119.66667,ETSY,19.7
43122.66667,ETSY,20.03
43123.66667,ETSY,19.94
43124.66667,ETSY,19.05
43125.66667,ETSY,19.14
43126.66667,ETSY,19.2
43129.66667,ETSY,18.96
43130.66667,ETSY,18.89
43131.66667,ETSY,18.76
43132.66667,ETSY,19.16
43133.66667,ETSY,18.79
43136.66667,ETSY,18.44
43137.66667,ETSY,18.71
43138.66667,ETSY,18.61
43139.66667,ETSY,17.73
43140.66667,ETSY,18.63
43143.66667,ETSY,18.62
43144.66667,ETSY,19.42
43145.66667,ETSY,19.95
43146.66667,ETSY,19.81
43147.66667,ETSY,20.96
43151.66667,ETSY,21.31
43152.66667,ETSY,21.43
43153.66667,ETSY,21.03
43154.66667,ETSY,21.07
43157.66667,ETSY,21.12
43158.66667,ETSY,21.03
43159.66667,ETSY,25.31
43160.66667,ETSY,25.32
43161.66667,ETSY,25.71
43164.66667,ETSY,25.4
43165.66667,ETSY,25.67
43166.66667,ETSY,26.09
43167.66667,ETSY,26.38
43168.66667,ETSY,27.93
43171.66667,ETSY,27.93
43172.66667,ETSY,27.92
43173.66667,ETSY,28.37
43174.66667,ETSY,28.38
43175.66667,ETSY,28.3
43178.66667,ETSY,27.83
43179.66667,ETSY,28.31
43180.66667,ETSY,28.95
43181.66667,ETSY,27.94
43182.66667,ETSY,26.64
43185.66667,ETSY,27.36
